,Tract,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Community Area,HCSOBP_2016-2018,repres_point,longitude,latitude
10,17031440201,5060,2382,0,0.0,0.0,0,1,0,1,1,1,32.4,0,1,0,1,0,0,0,1,2629.0,1157.0,732.0,13.0,4964.0,4.0,1.0,14.0,64.0,56.0,1249.0,986.0,44,40.5,POINT (-87.61000763390972 41.747727499999996),-87.61000763390972,41.747727499999996
11,17031839000,7311,4206,0,296.0,4.05,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,1997.0,457.0,566.0,4989.0,905.0,1052.0,6.0,10.0,349.0,450.0,2021.0,195.0,32,6.7,POINT (-87.6313893047402 41.8711605),-87.6313893047402,41.8711605
12,17031833300,2278,959,0,1.0,0.04,0,0,0,0,0,1,43.1,0,0,0,0,0,0,0,0,1515.0,208.0,188.0,1362.0,124.0,660.0,0.0,4.0,128.0,267.0,358.0,61.0,28,24.1,POINT (-87.65404591542803 41.871771499999994),-87.65404591542803,41.871771499999994
13,17031832900,2212,1100,0,4.0,0.18,0,0,0,0,0,1,36.1,0,0,0,0,0,0,0,0,1083.0,165.0,149.0,1471.0,100.0,549.0,2.0,4.0,86.0,189.0,316.0,34.0,28,24.1,POINT (-87.66176122950819 41.8740725),-87.66176122950819,41.8740725
14,17031838000,2561,1266,0,0.0,0.0,0,0,0,0,0,1,36.4,0,0,0,0,0,0,0,0,1539.0,560.0,384.0,454.0,1830.0,110.0,3.0,12.0,152.0,199.0,568.0,467.0,28,24.1,POINT (-87.68021119596422 41.877653499999994),-87.68021119596422,41.877653499999994
15,17031838100,1713,1064,0,20.0,1.17,0,1,0,1,1,1,36.9,0,1,0,1,0,0,0,1,959.0,166.0,341.0,412.0,850.0,377.0,4.0,5.0,65.0,93.0,656.0,444.0,28,24.1,POINT (-87.67169560201097 41.8786925),-87.67169560201097,41.8786925
16,17031833100,6895,3669,0,587.0,8.51,0,0,0,0,0,0,11.6,0,1,0,1,0,0,0,0,1089.0,725.0,340.0,4751.0,1121.0,730.0,5.0,10.0,278.0,491.0,829.0,297.0,28,24.1,POINT (-87.65704705216535 41.8789915),-87.65704705216535,41.8789915
17,17031839100,4350,2026,0,1363.0,31.33,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,925.0,92.0,137.0,2737.0,607.0,712.0,3.0,13.0,278.0,379.0,1835.0,67.0,32,6.7,POINT (-87.6330013210059 41.8809215),-87.6330013210059,41.8809215
18,17031030601,4012,2153,0,182.0,4.54,0,0,0,0,0,1,17.6,0,0,0,0,0,0,0,0,1646.0,473.0,627.0,2179.0,1050.0,424.0,0.0,16.0,343.0,521.0,791.0,488.0,77,20.8,POINT (-87.65457348327837 41.9888845),-87.65457348327837,41.9888845
19,17031030604,2976,1884,0,2.0,0.07,0,0,0,0,0,1,24.4,0,0,0,0,0,0,0,0,1302.0,246.0,406.0,1592.0,602.0,569.0,1.0,8.0,204.0,275.0,1066.0,299.0,77,20.8,POINT (-87.65279162031155 41.9864185),-87.65279162031155,41.9864185
20,17031030706,3599,2375,0,0.0,0.0,0,0,0,0,0,1,13.3,0,0,0,0,0,0,0,0,955.0,296.0,1024.0,2373.0,504.0,460.0,0.0,21.0,241.0,387.0,1102.0,162.0,77,20.8,POINT (-87.65056404127114 41.9801825),-87.65056404127114,41.9801825
21,17031040201,6218,2771,0,2.0,0.03,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,1603.0,1011.0,598.0,4513.0,184.0,632.0,0.0,46.0,843.0,1375.0,537.0,202.0,4,23.0,POINT (-87.6939347225777 41.972719999999995),-87.6939347225777,41.972719999999995
22,17031040202,7249,2886,0,149.0,2.06,0,0,0,0,0,1,18.5,0,0,0,0,0,0,0,0,3424.0,1431.0,792.0,4201.0,564.0,1621.0,14.0,29.0,820.0,1398.0,706.0,574.0,4,23.0,POINT (-87.69416634890109 41.979497499999994),-87.69416634890109,41.979497499999994
23,17031020801,5458,2017,0,2.0,0.04,0,0,0,0,0,1,16.5,0,0,0,0,0,0,0,0,2314.0,1241.0,585.0,2945.0,386.0,1184.0,2.0,32.0,909.0,1467.0,227.0,435.0,2,24.2,POINT (-87.69441346461187 41.9867845),-87.69441346461187,41.9867845
24,17031020702,7194,2312,0,141.0,1.96,0,0,0,0,0,1,22.1,0,0,0,0,0,0,0,0,3628.0,1799.0,881.0,3618.0,556.0,2090.0,0.0,32.0,898.0,1174.0,256.0,675.0,2,24.2,POINT (-87.7096227906884 42.001262999999994),-87.7096227906884,42.001262999999994
25,17031020802,6963,2111,0,21.0,0.3,0,0,0,0,0,1,26.2,0,0,0,0,0,0,0,0,4315.0,1882.0,508.0,2347.0,746.0,2561.0,0.0,43.0,1266.0,1773.0,317.0,751.0,2,24.2,POINT (-87.69464001588494 41.994035499999995),-87.69464001588494,41.994035499999995
26,17031020301,4750,1969,0,2.0,0.04,0,0,0,0,0,0,13.6,0,1,0,1,0,0,0,0,1916.0,1228.0,1233.0,3965.0,106.0,470.0,0.0,15.0,194.0,289.0,346.0,276.0,2,24.2,POINT (-87.704569430666 42.0056635),-87.704569430666,42.0056635
27,17031838700,4484,1429,0,1.0,0.02,0,0,0,0,0,1,45.1,0,0,0,0,0,0,0,0,3090.0,1571.0,365.0,54.0,4350.0,5.0,0.0,13.0,62.0,84.0,740.0,881.0,29,44.1,POINT (-87.72018624242423 41.862573),-87.72018624242423,41.862573
28,17031841500,2962,895,0,68.0,2.3,0,1,0,0,0,1,35.9,0,1,0,1,0,0,0,0,1898.0,1166.0,191.0,50.0,2814.0,2.0,0.0,28.0,68.0,81.0,367.0,409.0,29,44.1,POINT (-87.70796150531135 41.861334),-87.70796150531135,41.861334
29,17031838600,1598,506,0,204.0,12.77,0,0,0,0,0,1,51.2,0,0,0,0,0,0,0,0,1215.0,495.0,167.0,74.0,1481.0,4.0,0.0,2.0,37.0,66.0,303.0,292.0,29,44.1,POINT (-87.70082656122449 41.8678245),-87.70082656122449,41.8678245
30,17031837300,2483,703,0,323.0,13.01,0,0,0,0,0,1,33.4,0,0,0,0,0,0,0,0,1516.0,694.0,167.0,150.0,2255.0,22.0,0.0,2.0,54.0,116.0,268.0,275.0,27,43.5,POINT (-87.70582339448956 41.8714145),-87.70582339448956,41.8714145
31,17031837800,2796,973,0,320.0,11.44,0,0,0,0,0,1,32.1,0,0,0,0,0,0,0,0,1178.0,757.0,112.0,402.0,2132.0,102.0,3.0,4.0,153.0,207.0,214.0,225.0,28,24.1,POINT (-87.68416631733558 41.884837),-87.68416631733558,41.884837
32,17031837400,2279,709,0,174.0,7.63,0,1,0,0,0,1,43.3,0,1,0,1,0,0,0,0,1461.0,706.0,155.0,186.0,1965.0,23.0,0.0,4.0,101.0,170.0,269.0,334.0,27,43.5,POINT (-87.69376367410715 41.876079999999995),-87.69376367410715,41.876079999999995
33,17031836900,1442,494,0,0.0,0.0,0,1,0,1,1,1,40.7,0,1,0,1,0,0,0,1,990.0,478.0,80.0,109.0,1240.0,10.0,0.0,1.0,82.0,99.0,213.0,201.0,27,43.5,POINT (-87.70613199537308 41.881878),-87.70613199537308,41.881878
34,17031020601,6353,1990,0,32.0,0.5,0,0,0,0,0,1,24.3,0,0,0,0,0,0,0,0,3183.0,1876.0,584.0,3908.0,304.0,1317.0,1.0,38.0,785.0,1010.0,429.0,616.0,2,24.2,POINT (-87.70156785851643 42.001168),-87.70156785851643,42.001168
35,17031020602,4340,1397,0,13.0,0.3,0,1,0,0,0,1,22.0,0,1,0,1,0,0,0,0,2696.0,1117.0,435.0,2084.0,326.0,1215.0,5.0,11.0,699.0,1139.0,283.0,251.0,2,24.2,POINT (-87.693637375 42.001303),-87.693637375,42.001303
36,17031020302,4650,1630,0,369.0,7.94,0,1,0,0,0,1,22.8,0,1,0,1,0,0,0,0,1721.0,1103.0,685.0,3051.0,462.0,504.0,0.0,12.0,621.0,952.0,277.0,233.0,2,24.2,POINT (-87.69496487092967 42.0085335),-87.69496487092967,42.0085335
37,17031020902,4286,1564,0,461.0,10.76,0,0,0,0,0,1,26.7,0,0,0,0,0,0,0,0,2307.0,846.0,493.0,2095.0,564.0,1123.0,2.0,10.0,492.0,734.0,408.0,417.0,2,24.2,POINT (-87.67864229801279 41.9942925),-87.67864229801279,41.9942925
38,17031010701,3864,1535,0,0.0,0.0,0,0,0,0,0,1,20.8,0,0,0,0,0,0,0,0,1593.0,962.0,240.0,2125.0,761.0,204.0,2.0,15.0,757.0,1463.0,285.0,273.0,1,33.5,POINT (-87.67860123590157 42.0089135),-87.67860123590157,42.0089135
39,17031030103,1928,1084,0,366.0,18.98,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,523.0,84.0,104.0,1150.0,341.0,303.0,0.0,4.0,130.0,182.0,370.0,28.0,77,20.8,POINT (-87.65516530213648 41.995251999999994),-87.65516530213648,41.995251999999994
40,17031030102,3204,1894,0,66.0,2.06,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,910.0,308.0,361.0,1898.0,709.0,330.0,1.0,13.0,253.0,347.0,947.0,106.0,77,20.8,POINT (-87.65489499007717 41.993536),-87.65489499007717,41.993536
41,17031010502,3101,1684,0,3.0,0.1,0,0,0,0,0,1,30.0,0,0,0,0,0,0,0,0,1356.0,376.0,106.0,1820.0,776.0,239.0,1.0,31.0,234.0,340.0,751.0,180.0,1,33.5,POINT (-87.66327869374999 42.0045745),-87.66327869374999,42.0045745
42,17031010503,2290,1184,0,163.0,7.12,0,0,0,0,0,1,48.0,0,0,0,0,0,0,0,0,1135.0,142.0,535.0,1452.0,303.0,331.0,2.0,19.0,183.0,245.0,494.0,296.0,1,33.5,POINT (-87.66314470070422 42.000342),-87.66314470070422,42.000342
43,17031010702,5143,1912,0,60.0,1.17,0,0,0,0,0,1,24.2,0,0,0,0,0,0,0,0,2640.0,1363.0,167.0,2381.0,1155.0,323.0,3.0,36.0,1245.0,2423.0,698.0,406.0,1,33.5,POINT (-87.67269803322388 42.0090055),-87.67269803322388,42.0090055
44,17031837100,1819,719,0,64.0,3.52,0,1,0,1,1,1,24.2,0,1,0,1,0,0,0,1,860.0,451.0,276.0,188.0,1531.0,12.0,0.0,6.0,82.0,138.0,330.0,183.0,27,43.5,POINT (-87.69893238270548 41.885611499999996),-87.69893238270548,41.885611499999996
45,17031837000,2085,784,0,7.0,0.34,0,1,0,1,1,1,47.9,0,1,0,1,0,0,0,1,1298.0,626.0,151.0,99.0,1908.0,6.0,0.0,7.0,65.0,78.0,388.0,415.0,27,43.5,POINT (-87.69867349544612 41.8783145),-87.69867349544612,41.8783145
46,17031831400,2964,1020,0,212.0,7.15,0,0,0,0,0,1,23.9,0,0,0,0,0,0,0,0,1311.0,723.0,326.0,501.0,1987.0,115.0,1.0,21.0,339.0,572.0,360.0,293.0,25,38.4,POINT (-87.75713132352942 41.869243499999996),-87.75713132352942,41.869243499999996
47,17031831300,1280,366,0,1.0,0.08,0,0,0,0,0,1,20.9,0,0,0,0,0,0,0,0,446.0,383.0,91.0,215.0,666.0,18.0,0.0,17.0,364.0,558.0,58.0,132.0,25,38.4,POINT (-87.74382520478073 41.908440999999996),-87.74382520478073,41.908440999999996
48,17031833000,2768,1536,0,221.0,7.98,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,595.0,179.0,117.0,2113.0,346.0,215.0,2.0,7.0,85.0,103.0,654.0,178.0,28,24.1,POINT (-87.65719868220339 41.885237499999995),-87.65719868220339,41.885237499999995
49,17031760801,4047,2103,0,0.0,0.0,0,0,0,0,1,0,10.8,0,1,0,1,0,0,0,1,1442.0,566.0,326.0,2931.0,231.0,609.0,4.0,3.0,269.0,380.0,254.0,228.0,76,13.2,POINT (-87.84150754689864 41.983328),-87.84150754689864,41.983328
50,17031010201,6450,2463,0,163.0,2.53,0,0,0,0,0,1,36.8,0,0,0,0,0,0,0,0,3776.0,1704.0,314.0,2312.0,2350.0,299.0,6.0,48.0,1435.0,2049.0,751.0,851.0,1,33.5,POINT (-87.68013457110533 42.015843),-87.68013457110533,42.015843
51,17031020901,5221,1790,0,16.0,0.31,0,0,0,0,0,1,28.9,0,0,0,0,0,0,0,0,3622.0,1366.0,300.0,1839.0,1061.0,1182.0,1.0,36.0,1102.0,1526.0,377.0,473.0,2,24.2,POINT (-87.68573431701759 41.994156000000004),-87.68573431701759,41.994156000000004
52,17031020701,1704,648,0,0.0,0.0,0,0,0,0,0,0,6.6,0,1,0,1,0,0,0,0,464.0,385.0,281.0,1088.0,42.0,418.0,0.0,7.0,149.0,227.0,16.0,57.0,2,24.2,POINT (-87.70366911953394 41.9867675),-87.70366911953394,41.9867675
53,17031010501,4091,2293,0,7.0,0.17,0,0,0,0,0,1,20.7,0,0,0,0,0,0,0,0,1894.0,562.0,392.0,2018.0,1300.0,383.0,5.0,23.0,362.0,506.0,1132.0,466.0,1,33.5,POINT (-87.66400596780001 42.009578499999996),-87.66400596780001,42.009578499999996
54,17031252101,1370,575,0,5.0,0.36,0,0,0,0,0,1,34.3,0,0,0,0,0,0,0,0,767.0,320.0,214.0,29.0,1306.0,4.0,0.0,0.0,31.0,20.0,304.0,188.0,25,38.4,POINT (-87.76958951205287 41.875429),-87.76958951205287,41.875429
55,17031252102,6438,2137,0,0.0,0.0,0,0,0,0,0,1,32.5,0,0,0,0,0,0,0,0,4332.0,1831.0,744.0,29.0,6294.0,1.0,1.0,24.0,89.0,42.0,639.0,678.0,25,38.4,POINT (-87.75982683937231 41.8765985),-87.75982683937231,41.8765985
56,17031252202,4609,1585,0,51.0,1.11,0,0,0,0,0,1,38.9,0,0,0,0,0,0,0,0,3369.0,1343.0,535.0,31.0,4509.0,6.0,0.0,1.0,62.0,61.0,623.0,796.0,25,38.4,POINT (-87.74439821823205 41.876819),-87.74439821823205,41.876819
57,17031040401,3092,1367,0,0.0,0.0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,404.0,567.0,281.0,2369.0,51.0,261.0,2.0,9.0,400.0,655.0,212.0,38.0,4,23.0,POINT (-87.68571200902511 41.97228749999999),-87.68571200902511,41.97228749999999
58,17031220601,1766,732,0,0.0,0.0,0,0,0,0,0,1,12.3,0,0,0,0,0,0,0,0,650.0,325.0,112.0,1097.0,128.0,38.0,0.0,5.0,498.0,871.0,152.0,92.0,22,22.9,POINT (-87.71232469547749 41.926283999999995),-87.71232469547749,41.926283999999995
59,17031210502,4486,1448,0,9.0,0.2,0,0,0,0,0,1,30.2,0,0,0,0,0,0,0,0,2280.0,1251.0,350.0,2852.0,129.0,73.0,1.0,57.0,1374.0,2967.0,298.0,241.0,21,42.0,POINT (-87.72214986410788 41.9342565),-87.72214986410788,41.9342565
60,17031220602,5064,2438,0,14.0,0.28,0,0,0,0,0,1,17.1,0,0,0,0,0,0,0,0,1902.0,862.0,366.0,3283.0,402.0,153.0,7.0,38.0,1181.0,2363.0,863.0,385.0,22,22.9,POINT (-87.71248859210526 41.9283885),-87.71248859210526,41.9283885
61,17031210602,4683,1559,0,0.0,0.0,0,0,0,0,0,1,15.1,0,0,0,0,0,0,0,0,1789.0,1244.0,308.0,2725.0,229.0,73.0,1.0,42.0,1613.0,3487.0,408.0,299.0,21,42.0,POINT (-87.71238186665141 41.934692),-87.71238186665141,41.934692
62,17031220901,3498,1037,0,0.0,0.0,0,0,0,0,0,1,27.2,0,0,0,0,0,0,0,0,1636.0,1149.0,234.0,1525.0,385.0,39.0,7.0,32.0,1510.0,2813.0,270.0,260.0,22,22.9,POINT (-87.72172167636168 41.919065),-87.72172167636168,41.919065
63,17031220902,3371,994,0,0.0,0.0,0,0,0,0,0,1,13.7,0,0,0,0,0,0,0,0,1408.0,1020.0,177.0,1598.0,151.0,20.0,0.0,37.0,1565.0,2833.0,176.0,163.0,22,22.9,POINT (-87.72170358508353 41.922714),-87.72170358508353,41.922714
64,17031200401,3603,939,0,0.0,0.0,0,0,0,0,0,1,18.5,0,0,0,0,0,0,0,0,2121.0,1156.0,220.0,1578.0,202.0,19.0,0.0,29.0,1775.0,3219.0,169.0,320.0,20,45.2,POINT (-87.737441507205 41.919825),-87.737441507205,41.919825
65,17031160501,4188,1307,0,0.0,0.0,0,0,0,0,0,1,14.1,0,0,0,0,0,0,0,0,1580.0,1157.0,282.0,2060.0,198.0,389.0,1.0,74.0,1466.0,2673.0,271.0,285.0,16,31.4,POINT (-87.71307850565344 41.9591255),-87.71307850565344,41.9591255
66,17031200402,4396,1183,0,0.0,0.0,0,0,0,0,0,1,19.3,0,0,0,0,0,0,0,0,1634.0,1372.0,238.0,1542.0,203.0,26.0,2.0,30.0,2593.0,4058.0,81.0,294.0,20,45.2,POINT (-87.73000163471995 41.919816499999996),-87.73000163471995,41.919816499999996
67,17031191301,5397,1404,0,5.0,0.09,0,0,0,0,0,1,18.4,0,0,0,0,0,0,0,0,2533.0,1710.0,396.0,2045.0,546.0,142.0,10.0,49.0,2605.0,4509.0,388.0,406.0,19,25.9,POINT (-87.78046212568681 41.9201145),-87.78046212568681,41.9201145
68,17031190601,4545,1173,0,0.0,0.0,0,0,0,0,0,1,16.0,0,0,0,0,0,0,0,0,1874.0,1410.0,321.0,2292.0,165.0,97.0,0.0,42.0,1949.0,3717.0,143.0,98.0,19,25.9,POINT (-87.78040784864626 41.9274115),-87.78040784864626,41.9274115
69,17031191302,5034,1283,0,0.0,0.0,0,0,0,0,0,1,14.2,0,0,0,0,0,0,0,0,2582.0,1664.0,276.0,1879.0,317.0,79.0,4.0,49.0,2706.0,4358.0,232.0,272.0,19,25.9,POINT (-87.77072144711263 41.920255499999996),-87.77072144711263,41.920255499999996
70,17031190701,2955,788,0,0.0,0.0,0,0,0,0,0,1,23.5,0,0,0,0,0,0,0,0,1673.0,938.0,156.0,1235.0,74.0,48.0,3.0,51.0,1544.0,2436.0,118.0,232.0,19,25.9,POINT (-87.76127403151084 41.9297265),-87.76127403151084,41.9297265
71,17031190702,4869,1370,0,0.0,0.0,0,0,0,0,0,1,30.3,0,0,0,0,0,0,0,0,2792.0,1593.0,295.0,2142.0,185.0,29.0,2.0,58.0,2453.0,4065.0,244.0,419.0,19,25.9,POINT (-87.76114984558822 41.926327),-87.76114984558822,41.926327
72,17031190401,4257,1228,0,0.0,0.0,0,0,0,0,0,1,18.4,0,0,0,0,0,0,0,0,1464.0,1105.0,435.0,2427.0,88.0,236.0,7.0,19.0,1480.0,2664.0,43.0,148.0,19,25.9,POINT (-87.7809494177471 41.934728),-87.7809494177471,41.934728
73,17031190602,5516,1368,0,238.0,4.31,0,0,0,0,0,1,11.1,0,0,0,0,0,0,0,0,1963.0,1650.0,469.0,2828.0,277.0,74.0,6.0,95.0,2236.0,4388.0,126.0,270.0,19,25.9,POINT (-87.77098016252404 41.92756),-87.77098016252404,41.92756
74,17031190402,5458,1571,0,4.0,0.07,0,0,0,0,0,1,7.3,0,0,0,0,0,0,0,0,2263.0,1475.0,476.0,3007.0,165.0,167.0,12.0,40.0,2067.0,3666.0,150.0,171.0,19,25.9,POINT (-87.77123041514291 41.9348615),-87.77123041514291,41.9348615
75,17031832100,3297,1879,0,0.0,0.0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,747.0,345.0,125.0,2343.0,597.0,145.0,4.0,9.0,199.0,315.0,586.0,80.0,6,17.8,POINT (-87.65323497196573 41.952822999999995),-87.65323497196573,41.952822999999995
76,17031843800,2110,651,0,0.0,0.0,0,1,0,1,1,1,23.0,0,1,0,1,0,0,0,1,846.0,611.0,207.0,616.0,1119.0,110.0,0.0,23.0,242.0,380.0,182.0,199.0,61,38.9,POINT (-87.64048288719512 41.801675),-87.64048288719512,41.801675
77,17031842800,7498,2009,0,0.0,0.0,0,1,0,1,1,1,39.5,0,1,0,1,0,0,0,1,4923.0,2628.0,432.0,3642.0,99.0,139.0,3.0,58.0,3557.0,6699.0,355.0,535.0,58,32.9,POINT (-87.6954364537037 41.808091),-87.6954364537037,41.808091
78,17031842400,3304,1299,0,0.0,0.0,0,0,0,0,0,1,27.4,0,0,0,0,0,0,0,0,1379.0,725.0,648.0,31.0,3195.0,8.0,0.0,7.0,63.0,40.0,365.0,337.0,44,40.5,POINT (-87.62908720939174 41.7398775),-87.62908720939174,41.7398775
79,17031151001,2819,909,0,0.0,0.0,0,0,0,0,0,0,17.3,0,1,0,1,0,0,0,0,1024.0,706.0,258.0,1616.0,76.0,71.0,0.0,22.0,1034.0,1737.0,159.0,148.0,15,36.3,POINT (-87.75435241716207 41.942381999999995),-87.75435241716207,41.942381999999995
80,17031151002,4567,1547,0,0.0,0.0,0,1,0,0,0,1,10.1,0,1,0,1,0,0,0,0,1779.0,1158.0,333.0,2718.0,106.0,169.0,7.0,75.0,1492.0,2857.0,189.0,206.0,15,36.3,POINT (-87.7474287663566 41.942472499999994),-87.7474287663566,41.942472499999994
81,17031160602,3589,1468,0,0.0,0.0,0,0,0,0,0,1,5.9,0,0,0,0,0,0,0,0,1506.0,740.0,244.0,2300.0,179.0,276.0,2.0,31.0,801.0,1655.0,154.0,110.0,16,31.4,POINT (-87.70120902010049 41.9567445),-87.70120902010049,41.9567445
82,17031160502,3550,1240,0,0.0,0.0,0,0,0,0,0,1,11.7,0,0,0,0,0,0,0,0,1687.0,917.0,214.0,1879.0,162.0,270.0,5.0,43.0,1191.0,2119.0,216.0,182.0,16,31.4,POINT (-87.71296761458791 41.9556725),-87.71296761458791,41.9556725
83,17031140601,2786,833,0,0.0,0.0,0,0,0,0,0,1,13.4,0,0,0,0,0,0,0,0,1307.0,722.0,252.0,1353.0,65.0,440.0,10.0,14.0,904.0,1686.0,218.0,269.0,14,29.5,POINT (-87.72609395612628 41.964614499999996),-87.72609395612628,41.964614499999996
84,17031140701,2933,954,0,0.0,0.0,0,0,0,0,0,1,13.5,0,0,0,0,0,0,0,0,1136.0,724.0,134.0,1421.0,137.0,410.0,0.0,63.0,902.0,1658.0,247.0,131.0,14,29.5,POINT (-87.71331195471194 41.966761),-87.71331195471194,41.966761
85,17031140602,5397,1586,0,0.0,0.0,0,0,0,0,0,1,24.4,0,0,0,0,0,0,0,0,2207.0,1590.0,255.0,2405.0,434.0,555.0,2.0,43.0,1958.0,3332.0,412.0,533.0,14,29.5,POINT (-87.72089097699629 41.964676499999996),-87.72089097699629,41.964676499999996
86,17031140702,6187,1938,0,13.0,0.21,0,0,0,0,0,1,19.8,0,0,0,0,0,0,0,0,2588.0,1671.0,311.0,2872.0,264.0,488.0,6.0,54.0,2503.0,4153.0,412.0,331.0,14,29.5,POINT (-87.71321925030844 41.963725999999994),-87.71321925030844,41.963725999999994
87,17031140301,2891,798,0,0.0,0.0,0,0,0,0,0,1,24.8,0,0,0,0,0,0,0,0,1514.0,794.0,173.0,981.0,119.0,736.0,0.0,14.0,1041.0,1571.0,206.0,144.0,14,29.5,POINT (-87.72316428806735 41.9690925),-87.72316428806735,41.9690925
88,17031841800,2505,898,0,6.0,0.24,0,0,0,0,0,1,26.4,0,0,0,0,0,0,0,0,1178.0,778.0,298.0,37.0,2408.0,0.0,2.0,7.0,51.0,40.0,212.0,351.0,69,47.1,POINT (-87.59974539481831 41.76594349999999),-87.59974539481831,41.76594349999999
89,17031842500,2451,819,0,5.0,0.2,0,0,0,0,0,1,63.4,0,0,0,0,0,0,0,0,1670.0,1173.0,109.0,7.0,2413.0,7.0,0.0,5.0,19.0,20.0,642.0,585.0,69,47.1,POINT (-87.6228245576923 41.7779715),-87.6228245576923,41.7779715
90,17031842600,4133,1411,0,5.0,0.12,0,1,0,0,0,1,11.8,0,1,0,1,0,0,0,0,1326.0,1174.0,386.0,2675.0,154.0,414.0,0.0,34.0,856.0,1524.0,228.0,219.0,61,38.9,POINT (-87.65317681041759 41.815229),-87.65317681041759,41.815229
