Tract,Label,Community Area
17031050700,"Census Tract 507, Cook County, Illinois",5
17031050800,"Census Tract 508, Cook County, Illinois",5
17031050900,"Census Tract 509, Cook County, Illinois",5
17031051000,"Census Tract 510, Cook County, Illinois",5
17031051100,"Census Tract 511, Cook County, Illinois",5
17031051200,"Census Tract 512, Cook County, Illinois",5
17031051300,"Census Tract 513, Cook County, Illinois",5
17031051400,"Census Tract 514, Cook County, Illinois",5
17031060100,"Census Tract 601, Cook County, Illinois",6
17031060200,"Census Tract 602, Cook County, Illinois",6
17031060300,"Census Tract 603, Cook County, Illinois",6
17031060400,"Census Tract 604, Cook County, Illinois",6
17031060500,"Census Tract 605, Cook County, Illinois",6
17031060800,"Census Tract 608, Cook County, Illinois",6
17031060900,"Census Tract 609, Cook County, Illinois",6
17031061000,"Census Tract 610, Cook County, Illinois",6
17031061100,"Census Tract 611, Cook County, Illinois",6
17031061200,"Census Tract 612, Cook County, Illinois",6
17031061500,"Census Tract 615, Cook County, Illinois",6
17031061800,"Census Tract 618, Cook County, Illinois",6
17031061901,"Census Tract 619.01, Cook County, Illinois",6
17031061902,"Census Tract 619.02, Cook County, Illinois",6
17031062000,"Census Tract 620, Cook County, Illinois",6
17031062100,"Census Tract 621, Cook County, Illinois",6
17031062200,"Census Tract 622, Cook County, Illinois",6
17031062300,"Census Tract 623, Cook County, Illinois",6
17031062400,"Census Tract 624, Cook County, Illinois",6
17031062500,"Census Tract 625, Cook County, Illinois",6
17031062600,"Census Tract 626, Cook County, Illinois",6
17031062700,"Census Tract 627, Cook County, Illinois",6
17031062800,"Census Tract 628, Cook County, Illinois",6
17031062900,"Census Tract 629, Cook County, Illinois",6
17031063000,"Census Tract 630, Cook County, Illinois",6
17031063100,"Census Tract 631, Cook County, Illinois",6
17031063200,"Census Tract 632, Cook County, Illinois",6
17031063301,"Census Tract 633.01, Cook County, Illinois",6
17031063302,"Census Tract 633.02, Cook County, Illinois",6
17031063303,"Census Tract 633.03, Cook County, Illinois",6
17031063400,"Census Tract 634, Cook County, Illinois",6
17031070101,"Census Tract 701.01, Cook County, Illinois",7
17031070102,"Census Tract 701.02, Cook County, Illinois",7
17031070103,"Census Tract 701.03, Cook County, Illinois",7
17031070200,"Census Tract 702, Cook County, Illinois",7
17031070300,"Census Tract 703, Cook County, Illinois",7
17031070400,"Census Tract 704, Cook County, Illinois",7
17031070500,"Census Tract 705, Cook County, Illinois",7
17031070600,"Census Tract 706, Cook County, Illinois",7
17031070700,"Census Tract 707, Cook County, Illinois",7
17031071000,"Census Tract 710, Cook County, Illinois",7
17031071100,"Census Tract 711, Cook County, Illinois",7
17031071200,"Census Tract 712, Cook County, Illinois",7
17031071300,"Census Tract 713, Cook County, Illinois",7
17031071400,"Census Tract 714, Cook County, Illinois",7
17031071500,"Census Tract 715, Cook County, Illinois",7
17031071600,"Census Tract 716, Cook County, Illinois",7
17031071700,"Census Tract 717, Cook County, Illinois",7
17031071800,"Census Tract 718, Cook County, Illinois",7
17031080100,"Census Tract 801, Cook County, Illinois",8
17031080201,"Census Tract 802.01, Cook County, Illinois",8
17031080202,"Census Tract 802.02, Cook County, Illinois",8
17031080300,"Census Tract 803, Cook County, Illinois",8
17031080400,"Census Tract 804, Cook County, Illinois",8
17031081000,"Census Tract 810, Cook County, Illinois",8
17031081100,"Census Tract 811, Cook County, Illinois",8
17031081201,"Census Tract 812.01, Cook County, Illinois",8
17031081202,"Census Tract 812.02, Cook County, Illinois",8
17031081300,"Census Tract 813, Cook County, Illinois",8
17031081401,"Census Tract 814.01, Cook County, Illinois",8
17031081402,"Census Tract 814.02, Cook County, Illinois",8
17031081403,"Census Tract 814.03, Cook County, Illinois",8
17031081500,"Census Tract 815, Cook County, Illinois",8
17031081600,"Census Tract 816, Cook County, Illinois",8
17031081700,"Census Tract 817, Cook County, Illinois",8
17031081800,"Census Tract 818, Cook County, Illinois",8
17031081900,"Census Tract 819, Cook County, Illinois",8
17031090100,"Census Tract 901, Cook County, Illinois",9
17031090200,"Census Tract 902, Cook County, Illinois",9
17031090300,"Census Tract 903, Cook County, Illinois",9
17031100100,"Census Tract 1001, Cook County, Illinois",10
17031100200,"Census Tract 1002, Cook County, Illinois",10
17031100300,"Census Tract 1003, Cook County, Illinois",10
17031100400,"Census Tract 1004, Cook County, Illinois",10
17031100500,"Census Tract 1005, Cook County, Illinois",10
17031100600,"Census Tract 1006, Cook County, Illinois",10
17031100700,"Census Tract 1007, Cook County, Illinois",10
17031110100,"Census Tract 1101, Cook County, Illinois",11
17031110200,"Census Tract 1102, Cook County, Illinois",11
17031110300,"Census Tract 1103, Cook County, Illinois",11
17031110400,"Census Tract 1104, Cook County, Illinois",11
17031110501,"Census Tract 1105.01, Cook County, Illinois",11
17031110502,"Census Tract 1105.02, Cook County, Illinois",11
17031120100,"Census Tract 1201, Cook County, Illinois",12
17031120200,"Census Tract 1202, Cook County, Illinois",12
17031120300,"Census Tract 1203, Cook County, Illinois",12
17031120400,"Census Tract 1204, Cook County, Illinois",12
17031130100,"Census Tract 1301, Cook County, Illinois",13
17031130200,"Census Tract 1302, Cook County, Illinois",13
17031130300,"Census Tract 1303, Cook County, Illinois",13
17031140100,"Census Tract 1401, Cook County, Illinois",14
17031140200,"Census Tract 1402, Cook County, Illinois",14
17031140301,"Census Tract 1403.01, Cook County, Illinois",14
17031140302,"Census Tract 1403.02, Cook County, Illinois",14
17031140400,"Census Tract 1404, Cook County, Illinois",14
17031140500,"Census Tract 1405, Cook County, Illinois",14
17031140601,"Census Tract 1406.01, Cook County, Illinois",14
17031140602,"Census Tract 1406.02, Cook County, Illinois",14
17031140701,"Census Tract 1407.01, Cook County, Illinois",14
17031140702,"Census Tract 1407.02, Cook County, Illinois",14
17031140800,"Census Tract 1408, Cook County, Illinois",14
17031150200,"Census Tract 1502, Cook County, Illinois",15
17031150300,"Census Tract 1503, Cook County, Illinois",15
17031150401,"Census Tract 1504.01, Cook County, Illinois",15
17031150402,"Census Tract 1504.02, Cook County, Illinois",15
17031150501,"Census Tract 1505.01, Cook County, Illinois",15
17031150502,"Census Tract 1505.02, Cook County, Illinois",15
17031150600,"Census Tract 1506, Cook County, Illinois",15
17031150700,"Census Tract 1507, Cook County, Illinois",15
17031150800,"Census Tract 1508, Cook County, Illinois",15
17031151001,"Census Tract 1510.01, Cook County, Illinois",15
17031151002,"Census Tract 1510.02, Cook County, Illinois",15
17031151100,"Census Tract 1511, Cook County, Illinois",15
17031151200,"Census Tract 1512, Cook County, Illinois",15
17031160100,"Census Tract 1601, Cook County, Illinois",16
17031160200,"Census Tract 1602, Cook County, Illinois",16
17031160300,"Census Tract 1603, Cook County, Illinois",16
17031160400,"Census Tract 1604, Cook County, Illinois",16
17031160501,"Census Tract 1605.01, Cook County, Illinois",16
17031160502,"Census Tract 1605.02, Cook County, Illinois",16
17031160601,"Census Tract 1606.01, Cook County, Illinois",16
17031160602,"Census Tract 1606.02, Cook County, Illinois",16
17031160700,"Census Tract 1607, Cook County, Illinois",16
17031160800,"Census Tract 1608, Cook County, Illinois",16
17031160900,"Census Tract 1609, Cook County, Illinois",16
17031161000,"Census Tract 1610, Cook County, Illinois",16
17031161100,"Census Tract 1611, Cook County, Illinois",16
17031161200,"Census Tract 1612, Cook County, Illinois",16
17031161300,"Census Tract 1613, Cook County, Illinois",16
17031170100,"Census Tract 1701, Cook County, Illinois",17
17031170200,"Census Tract 1702, Cook County, Illinois",17
17031170300,"Census Tract 1703, Cook County, Illinois",17
17031170400,"Census Tract 1704, Cook County, Illinois",17
17031170500,"Census Tract 1705, Cook County, Illinois",17
17031170600,"Census Tract 1706, Cook County, Illinois",17
17031170700,"Census Tract 1707, Cook County, Illinois",17
17031170800,"Census Tract 1708, Cook County, Illinois",17
17031170900,"Census Tract 1709, Cook County, Illinois",17
17031171000,"Census Tract 1710, Cook County, Illinois",17
17031171100,"Census Tract 1711, Cook County, Illinois",17
17031180100,"Census Tract 1801, Cook County, Illinois",18
17031190100,"Census Tract 1901, Cook County, Illinois",19
17031190200,"Census Tract 1902, Cook County, Illinois",19
17031190300,"Census Tract 1903, Cook County, Illinois",19
17031190401,"Census Tract 1904.01, Cook County, Illinois",19
17031190402,"Census Tract 1904.02, Cook County, Illinois",19
17031190601,"Census Tract 1906.01, Cook County, Illinois",19
17031190602,"Census Tract 1906.02, Cook County, Illinois",19
17031190701,"Census Tract 1907.01, Cook County, Illinois",19
17031190702,"Census Tract 1907.02, Cook County, Illinois",19
17031190800,"Census Tract 1908, Cook County, Illinois",19
17031190900,"Census Tract 1909, Cook County, Illinois",19
17031191000,"Census Tract 1910, Cook County, Illinois",19
17031191100,"Census Tract 1911, Cook County, Illinois",19
17031191200,"Census Tract 1912, Cook County, Illinois",19
17031191301,"Census Tract 1913.01, Cook County, Illinois",19
17031191302,"Census Tract 1913.02, Cook County, Illinois",19
17031200100,"Census Tract 2001, Cook County, Illinois",20
17031200200,"Census Tract 2002, Cook County, Illinois",20
17031200300,"Census Tract 2003, Cook County, Illinois",20
17031200401,"Census Tract 2004.01, Cook County, Illinois",20
17031200402,"Census Tract 2004.02, Cook County, Illinois",20
17031210100,"Census Tract 2101, Cook County, Illinois",21
17031210400,"Census Tract 2104, Cook County, Illinois",21
17031210501,"Census Tract 2105.01, Cook County, Illinois",21
17031210502,"Census Tract 2105.02, Cook County, Illinois",21
17031210601,"Census Tract 2106.01, Cook County, Illinois",21
17031210602,"Census Tract 2106.02, Cook County, Illinois",21
17031210700,"Census Tract 2107, Cook County, Illinois",21
17031210800,"Census Tract 2108, Cook County, Illinois",21
17031210900,"Census Tract 2109, Cook County, Illinois",21
17031220300,"Census Tract 2203, Cook County, Illinois",22
17031220400,"Census Tract 2204, Cook County, Illinois",22
17031220500,"Census Tract 2205, Cook County, Illinois",22
17031220601,"Census Tract 2206.01, Cook County, Illinois",22
17031220602,"Census Tract 2206.02, Cook County, Illinois",22
17031220701,"Census Tract 2207.01, Cook County, Illinois",22
17031220702,"Census Tract 2207.02, Cook County, Illinois",22
17031220901,"Census Tract 2209.01, Cook County, Illinois",22
17031220902,"Census Tract 2209.02, Cook County, Illinois",22
17031221000,"Census Tract 2210, Cook County, Illinois",22
17031221100,"Census Tract 2211, Cook County, Illinois",22
17031221200,"Census Tract 2212, Cook County, Illinois",22
17031221300,"Census Tract 2213, Cook County, Illinois",22
17031221400,"Census Tract 2214, Cook County, Illinois",22
17031221500,"Census Tract 2215, Cook County, Illinois",22
17031221600,"Census Tract 2216, Cook County, Illinois",22
17031222200,"Census Tract 2222, Cook County, Illinois",22
17031222500,"Census Tract 2225, Cook County, Illinois",22
17031222600,"Census Tract 2226, Cook County, Illinois",22
17031222700,"Census Tract 2227, Cook County, Illinois",22
17031222800,"Census Tract 2228, Cook County, Illinois",22
17031222900,"Census Tract 2229, Cook County, Illinois",22
17031230100,"Census Tract 2301, Cook County, Illinois",23
17031230200,"Census Tract 2302, Cook County, Illinois",23
17031230300,"Census Tract 2303, Cook County, Illinois",23
17031230400,"Census Tract 2304, Cook County, Illinois",23
17031230500,"Census Tract 2305, Cook County, Illinois",23
17031230600,"Census Tract 2306, Cook County, Illinois",23
17031230700,"Census Tract 2307, Cook County, Illinois",23
17031230800,"Census Tract 2308, Cook County, Illinois",23
17031230900,"Census Tract 2309, Cook County, Illinois",23
17031231100,"Census Tract 2311, Cook County, Illinois",23
17031231200,"Census Tract 2312, Cook County, Illinois",23
17031231500,"Census Tract 2315, Cook County, Illinois",23
17031240200,"Census Tract 2402, Cook County, Illinois",24
17031240300,"Census Tract 2403, Cook County, Illinois",24
17031240500,"Census Tract 2405, Cook County, Illinois",24
17031240600,"Census Tract 2406, Cook County, Illinois",24
17031240700,"Census Tract 2407, Cook County, Illinois",24
17031240800,"Census Tract 2408, Cook County, Illinois",24
17031240900,"Census Tract 2409, Cook County, Illinois",24
17031241000,"Census Tract 2410, Cook County, Illinois",24
17031241100,"Census Tract 2411, Cook County, Illinois",24
17031241200,"Census Tract 2412, Cook County, Illinois",24
17031241300,"Census Tract 2413, Cook County, Illinois",24
17031241400,"Census Tract 2414, Cook County, Illinois",24
17031241500,"Census Tract 2415, Cook County, Illinois",24
17031241600,"Census Tract 2416, Cook County, Illinois",24
17031242000,"Census Tract 2420, Cook County, Illinois",24
17031242100,"Census Tract 2421, Cook County, Illinois",24
17031242200,"Census Tract 2422, Cook County, Illinois",24
17031242300,"Census Tract 2423, Cook County, Illinois",24
17031242400,"Census Tract 2424, Cook County, Illinois",24
17031242500,"Census Tract 2425, Cook County, Illinois",24
17031242600,"Census Tract 2426, Cook County, Illinois",24
17031242700,"Census Tract 2427, Cook County, Illinois",24
17031242800,"Census Tract 2428, Cook County, Illinois",24
17031242900,"Census Tract 2429, Cook County, Illinois",24
17031243000,"Census Tract 2430, Cook County, Illinois",24
17031243100,"Census Tract 2431, Cook County, Illinois",24
17031243200,"Census Tract 2432, Cook County, Illinois",24
17031243300,"Census Tract 2433, Cook County, Illinois",24
17031243400,"Census Tract 2434, Cook County, Illinois",24
17031243500,"Census Tract 2435, Cook County, Illinois",24
17031250200,"Census Tract 2502, Cook County, Illinois",25
17031250300,"Census Tract 2503, Cook County, Illinois",25
17031250400,"Census Tract 2504, Cook County, Illinois",25
17031250500,"Census Tract 2505, Cook County, Illinois",25
17031250600,"Census Tract 2506, Cook County, Illinois",25
17031250700,"Census Tract 2507, Cook County, Illinois",25
17031250800,"Census Tract 2508, Cook County, Illinois",25
17031251000,"Census Tract 2510, Cook County, Illinois",25
17031251100,"Census Tract 2511, Cook County, Illinois",25
17031251200,"Census Tract 2512, Cook County, Illinois",25
17031251300,"Census Tract 2513, Cook County, Illinois",25
17031251400,"Census Tract 2514, Cook County, Illinois",25
17031251500,"Census Tract 2515, Cook County, Illinois",25
17031251600,"Census Tract 2516, Cook County, Illinois",25
17031251700,"Census Tract 2517, Cook County, Illinois",25
17031251800,"Census Tract 2518, Cook County, Illinois",25
17031251900,"Census Tract 2519, Cook County, Illinois",25
17031252000,"Census Tract 2520, Cook County, Illinois",25
17031252101,"Census Tract 2521.01, Cook County, Illinois",25
17031252102,"Census Tract 2521.02, Cook County, Illinois",25
17031252201,"Census Tract 2522.01, Cook County, Illinois",25
17031252202,"Census Tract 2522.02, Cook County, Illinois",25
17031260100,"Census Tract 2601, Cook County, Illinois",26
17031260200,"Census Tract 2602, Cook County, Illinois",26
17031260300,"Census Tract 2603, Cook County, Illinois",26
17031260400,"Census Tract 2604, Cook County, Illinois",26
17031260500,"Census Tract 2605, Cook County, Illinois",26
17031260600,"Census Tract 2606, Cook County, Illinois",26
17031260700,"Census Tract 2607, Cook County, Illinois",26
17031260800,"Census Tract 2608, Cook County, Illinois",26
17031260900,"Census Tract 2609, Cook County, Illinois",26
17031261000,"Census Tract 2610, Cook County, Illinois",26
17031270500,"Census Tract 2705, Cook County, Illinois",27
17031271200,"Census Tract 2712, Cook County, Illinois",27
17031271300,"Census Tract 2713, Cook County, Illinois",27
17031271400,"Census Tract 2714, Cook County, Illinois",27
17031271500,"Census Tract 2715, Cook County, Illinois",27
17031271800,"Census Tract 2718, Cook County, Illinois",27
17031280100,"Census Tract 2801, Cook County, Illinois",28
17031280400,"Census Tract 2804, Cook County, Illinois",28
17031280800,"Census Tract 2808, Cook County, Illinois",28
17031280900,"Census Tract 2809, Cook County, Illinois",28
17031281900,"Census Tract 2819, Cook County, Illinois",28
17031282700,"Census Tract 2827, Cook County, Illinois",28
17031282800,"Census Tract 2828, Cook County, Illinois",28
17031283100,"Census Tract 2831, Cook County, Illinois",28
17031283200,"Census Tract 2832, Cook County, Illinois",28
17031283800,"Census Tract 2838, Cook County, Illinois",28
17031290900,"Census Tract 2909, Cook County, Illinois",29
17031291200,"Census Tract 2912, Cook County, Illinois",29
17031291600,"Census Tract 2916, Cook County, Illinois",29
17031292200,"Census Tract 2922, Cook County, Illinois",29
17031292400,"Census Tract 2924, Cook County, Illinois",29
17031292500,"Census Tract 2925, Cook County, Illinois",29
17031300500,"Census Tract 3005, Cook County, Illinois",30
17031300600,"Census Tract 3006, Cook County, Illinois",30
17031300700,"Census Tract 3007, Cook County, Illinois",30
17031300800,"Census Tract 3008, Cook County, Illinois",30
17031300900,"Census Tract 3009, Cook County, Illinois",30
17031301100,"Census Tract 3011, Cook County, Illinois",30
17031301200,"Census Tract 3012, Cook County, Illinois",30
17031301600,"Census Tract 3016, Cook County, Illinois",30
17031301701,"Census Tract 3017.01, Cook County, Illinois",30
17031301702,"Census Tract 3017.02, Cook County, Illinois",30
17031301801,"Census Tract 3018.01, Cook County, Illinois",30
17031301802,"Census Tract 3018.02, Cook County, Illinois",30
17031301803,"Census Tract 3018.03, Cook County, Illinois",30
17031310200,"Census Tract 3102, Cook County, Illinois",31
17031310300,"Census Tract 3103, Cook County, Illinois",31
17031310400,"Census Tract 3104, Cook County, Illinois",31
17031310500,"Census Tract 3105, Cook County, Illinois",31
17031310600,"Census Tract 3106, Cook County, Illinois",31
17031310700,"Census Tract 3107, Cook County, Illinois",31
17031310800,"Census Tract 3108, Cook County, Illinois",31
17031310900,"Census Tract 3109, Cook County, Illinois",31
17031320100,"Census Tract 3201, Cook County, Illinois",32
17031320400,"Census Tract 3204, Cook County, Illinois",32
17031320600,"Census Tract 3206, Cook County, Illinois",32
17031330100,"Census Tract 3301, Cook County, Illinois",33
17031330200,"Census Tract 3302, Cook County, Illinois",33
17031340300,"Census Tract 3403, Cook County, Illinois",34
17031340400,"Census Tract 3404, Cook County, Illinois",34
17031340500,"Census Tract 3405, Cook County, Illinois",34
17031340600,"Census Tract 3406, Cook County, Illinois",34
17031350100,"Census Tract 3501, Cook County, Illinois",35
17031350400,"Census Tract 3504, Cook County, Illinois",35
17031351000,"Census Tract 3510, Cook County, Illinois",35
17031351100,"Census Tract 3511, Cook County, Illinois",35
17031351400,"Census Tract 3514, Cook County, Illinois",35
17031351500,"Census Tract 3515, Cook County, Illinois",35
17031360200,"Census Tract 3602, Cook County, Illinois",36
17031380100,"Census Tract 3801, Cook County, Illinois",38
17031380200,"Census Tract 3802, Cook County, Illinois",38
17031380500,"Census Tract 3805, Cook County, Illinois",38
17031380700,"Census Tract 3807, Cook County, Illinois",38
17031381200,"Census Tract 3812, Cook County, Illinois",38
17031381400,"Census Tract 3814, Cook County, Illinois",38
17031381500,"Census Tract 3815, Cook County, Illinois",38
17031381700,"Census Tract 3817, Cook County, Illinois",38
17031381800,"Census Tract 3818, Cook County, Illinois",38
17031381900,"Census Tract 3819, Cook County, Illinois",38
17031390100,"Census Tract 3901, Cook County, Illinois",39
17031390200,"Census Tract 3902, Cook County, Illinois",39
17031390300,"Census Tract 3903, Cook County, Illinois",39
17031390400,"Census Tract 3904, Cook County, Illinois",39
17031390500,"Census Tract 3905, Cook County, Illinois",39
17031390600,"Census Tract 3906, Cook County, Illinois",39
17031390700,"Census Tract 3907, Cook County, Illinois",39
17031400300,"Census Tract 4003, Cook County, Illinois",40
17031400400,"Census Tract 4004, Cook County, Illinois",40
17031400500,"Census Tract 4005, Cook County, Illinois",40
17031400800,"Census Tract 4008, Cook County, Illinois",40
17031410100,"Census Tract 4101, Cook County, Illinois",41
17031410200,"Census Tract 4102, Cook County, Illinois",41
17031410500,"Census Tract 4105, Cook County, Illinois",41
17031410600,"Census Tract 4106, Cook County, Illinois",41
17031410700,"Census Tract 4107, Cook County, Illinois",41
17031410800,"Census Tract 4108, Cook County, Illinois",41
17031410900,"Census Tract 4109, Cook County, Illinois",41
17031411000,"Census Tract 4110, Cook County, Illinois",41
17031411100,"Census Tract 4111, Cook County, Illinois",41
17031411200,"Census Tract 4112, Cook County, Illinois",41
17031420100,"Census Tract 4201, Cook County, Illinois",42
17031420200,"Census Tract 4202, Cook County, Illinois",42
17031420300,"Census Tract 4203, Cook County, Illinois",42
17031420400,"Census Tract 4204, Cook County, Illinois",42
17031420500,"Census Tract 4205, Cook County, Illinois",42
17031420600,"Census Tract 4206, Cook County, Illinois",42
17031420700,"Census Tract 4207, Cook County, Illinois",42
17031420800,"Census Tract 4208, Cook County, Illinois",42
17031421200,"Census Tract 4212, Cook County, Illinois",42
17031430101,"Census Tract 4301.01, Cook County, Illinois",43
17031430102,"Census Tract 4301.02, Cook County, Illinois",43
17031430200,"Census Tract 4302, Cook County, Illinois",43
17031430300,"Census Tract 4303, Cook County, Illinois",43
17031430400,"Census Tract 4304, Cook County, Illinois",43
17031430500,"Census Tract 4305, Cook County, Illinois",43
17031430600,"Census Tract 4306, Cook County, Illinois",43
17031430700,"Census Tract 4307, Cook County, Illinois",43
17031430800,"Census Tract 4308, Cook County, Illinois",43
17031430900,"Census Tract 4309, Cook County, Illinois",43
17031431200,"Census Tract 4312, Cook County, Illinois",43
17031431301,"Census Tract 4313.01, Cook County, Illinois",43
17031431302,"Census Tract 4313.02, Cook County, Illinois",43
17031431400,"Census Tract 4314, Cook County, Illinois",43
17031440101,"Census Tract 4401.01, Cook County, Illinois",44
17031440102,"Census Tract 4401.02, Cook County, Illinois",44
17031440201,"Census Tract 4402.01, Cook County, Illinois",44
17031440202,"Census Tract 4402.02, Cook County, Illinois",44
17031440300,"Census Tract 4403, Cook County, Illinois",44
17031440600,"Census Tract 4406, Cook County, Illinois",44
17031440700,"Census Tract 4407, Cook County, Illinois",44
17031440800,"Census Tract 4408, Cook County, Illinois",44
17031440900,"Census Tract 4409, Cook County, Illinois",44
17031450300,"Census Tract 4503, Cook County, Illinois",45
17031460100,"Census Tract 4601, Cook County, Illinois",46
17031460200,"Census Tract 4602, Cook County, Illinois",46
17031460301,"Census Tract 4603.01, Cook County, Illinois",46
17031460302,"Census Tract 4603.02, Cook County, Illinois",46
17031460400,"Census Tract 4604, Cook County, Illinois",46
17031460500,"Census Tract 4605, Cook County, Illinois",46
17031460600,"Census Tract 4606, Cook County, Illinois",46
17031460700,"Census Tract 4607, Cook County, Illinois",46
17031461000,"Census Tract 4610, Cook County, Illinois",46
17031470100,"Census Tract 4701, Cook County, Illinois",47
17031480100,"Census Tract 4801, Cook County, Illinois",48
17031480200,"Census Tract 4802, Cook County, Illinois",48
17031480300,"Census Tract 4803, Cook County, Illinois",48
17031480400,"Census Tract 4804, Cook County, Illinois",48
17031480500,"Census Tract 4805, Cook County, Illinois",48
17031490300,"Census Tract 4903, Cook County, Illinois",49
17031490400,"Census Tract 4904, Cook County, Illinois",49
17031490500,"Census Tract 4905, Cook County, Illinois",49
17031490600,"Census Tract 4906, Cook County, Illinois",49
17031490700,"Census Tract 4907, Cook County, Illinois",49
17031490800,"Census Tract 4908, Cook County, Illinois",49
17031490901,"Census Tract 4909.01, Cook County, Illinois",49
17031490902,"Census Tract 4909.02, Cook County, Illinois",49
17031491000,"Census Tract 4910, Cook County, Illinois",49
17031491100,"Census Tract 4911, Cook County, Illinois",49
17031491200,"Census Tract 4912, Cook County, Illinois",49
17031491300,"Census Tract 4913, Cook County, Illinois",49
17031491400,"Census Tract 4914, Cook County, Illinois",49
17031500100,"Census Tract 5001, Cook County, Illinois",50
17031500200,"Census Tract 5002, Cook County, Illinois",50
17031500300,"Census Tract 5003, Cook County, Illinois",50
17031510100,"Census Tract 5101, Cook County, Illinois",51
17031510200,"Census Tract 5102, Cook County, Illinois",51
17031510300,"Census Tract 5103, Cook County, Illinois",51
17031520100,"Census Tract 5201, Cook County, Illinois",52
17031520200,"Census Tract 5202, Cook County, Illinois",52
17031520300,"Census Tract 5203, Cook County, Illinois",52
17031520400,"Census Tract 5204, Cook County, Illinois",52
17031520500,"Census Tract 5205, Cook County, Illinois",52
17031520600,"Census Tract 5206, Cook County, Illinois",52
17031530100,"Census Tract 5301, Cook County, Illinois",53
17031530200,"Census Tract 5302, Cook County, Illinois",53
17031530300,"Census Tract 5303, Cook County, Illinois",53
17031530400,"Census Tract 5304, Cook County, Illinois",53
17031530501,"Census Tract 5305.01, Cook County, Illinois",53
17031530502,"Census Tract 5305.02, Cook County, Illinois",53
17031530503,"Census Tract 5305.03, Cook County, Illinois",53
17031530600,"Census Tract 5306, Cook County, Illinois",53
